city_id,households,population,employment
150,178,515.886572843623,51.1012829501061
151,3174,9596.05836344182,365.735055496313
152,6,21.4481329137449,0
153,515,1198.42237743229,13.616216604271
154,54,161.62816082749,12.7777595255415
155,120,352.614306420859,19.5502342889689
156,15,48.7814489876778,0
157,204,663.700201,7856.679754561
158,2959,7834.420977306,1918.14492669147
159,899,2428.48572735841,99.4170403014912
160,114,370.577577112805,267.222144015875
161,4,13.215,11.5166708665693
162,1520,3764.8790777,1163.66192931476
163,24,50.5788777289126,0
164,10,49.2557757042683,0
165,828,2447.94694687398,442.955657815283
166,27516,74820.750108918,18601.7764947866
170,4837,14403.5462713489,4995.06859382572
171,6746,20084.4305405316,3255.5037073026
172,2386,5919.16575132792,408.327398526818
173,25309,75319.9232938056,13816.5191713455
